,Unnamed: 0,Name
547,548,Nic Stone
548,549,Tanya Lee Stone
549,550,Francisco X. Stork
550,551,Mats Strandberg
551,552,Todd Strasser
552,553,Jonathan Stroud
553,554,Zoe Sugg
554,555,Deirdre Sullivan
555,556,Nova Ren Suma
556,557,Courtney Summers
557,558,Rosemary Sutcliff
558,559,Krystal Sutherland
559,560,Tabitha Suzuma
560,561,Robin Talley
561,562,Sabaa Tahir
562,563,Mariko Tamaki
563,564,Janet Tashjian
564,565,Mildred Taylor
565,566,Laini Taylor
566,567,Jean Thesman
567,568,Aiden Thomas
568,569,Angie Thomas
569,570,Joyce Carol Thomas
570,571,Rob Thomas
571,572,Kate Thompson
572,573,Johanna Thydell
573,574,Sharon Tregenza
574,575,Megan Whalen Turner
575,576,Mark Twain
576,577,Ngozi Ukazu
577,578,Eleanor Updale
578,579,Vivian Vande Velde
579,580,Wendelin Van Draanen
580,581,Lizzie Velásquez
581,582,Siobhan Vivian
582,583,Ned Vizzini
583,584,Cynthia Voigt
584,585,Seita Vuorela
585,586,Judy Waite
586,587,Melissa Walker
587,588,Jeannette Walls
588,589,Eric Walters
589,590,Jen Wang
590,591,James Watson
591,592,Catherine Webb
592,593,Jean Webster
593,594,Elizabeth E. Wein
594,595,Dan Wells
595,596,Rosemary Wells
596,597,Nancy Werlin
597,598,Scott Westerfeld
598,599,Suzanne Weyn
599,600,John Corey Whaley
600,601,Alex Wheatle
601,602,Gloria Whelan
602,603,Kiersten White
603,604,Ysabeau S. Wilce
604,605,Terry Spear
605,606,Lili Wilkinson
606,607,Rita Williams-Garcia
607,608,Pam Withers
608,609,Ellen Wittlinger
609,610,Yu Wo
610,611,Allan Wolf
611,612,Virginia Euwer Wolff
612,613,Chris Wooding
613,614,Jacqueline Woodson
614,615,Patricia C. Wrede
615,616,Richard Wright
616,617,Diana Wynne Jones
617,618,Rick Yancey
618,619,Gene Luen Yang
619,620,Laurence Yep
620,621,Jane Yolen
621,622,Honobu Yonezawa
622,623,David Yoo
623,624,Nicola Yoon
624,625,Allen Zadoff
625,626,Carlos Ruiz Zafón
626,627,Timothy Zahn
627,628,Sara Zarr
628,629,Gabrielle Zevin
629,630,Kat Zhang
630,631,Xiran Jay Zhao
631,632,Cecily von Ziegesar
632,633,Paul Zindel
633,634,Ibi Zoboi
634,635,Markus Zusak
